Retrieving list of stopwords...
Reading Input JSON...
Done loading json!
Merging Results...
Done merging results...
Final Results: 
putin 54
messaging 54
capitalism 54
six 54
quiz 54
foundation 53
oil 53
england 53
database 53
parents 53
governments 53
lawsuit 53
end 52
algorithms 52
schmidt 52
came 52
photographer 52
policies 52
hes 52
learn 52
funding 52
please 52
custom 52
millions 51
students 51
return 51
either 51
sell 51
clients 51
mentioned 51
began 51
shopify 51
survey 51
soros 50
epperly 50
full 50
address 50
iphone 50
man 50
given 50
israeli 50
come 50
major 50
corruption 50
step 50
2008 50
high 50
coercion 50
cryptocurrency 50
possible 49
hacker 49
early 49
isnt 49
businesses 49
wrote 49
communications 49
youll 49
audiences 49
member 49
start 49
decree 48
ernst 48
attorney 48
carroll 48
traffic 48
spent 48
economic 48
send 48
official 48
trending 47
visit 47
americans 47
link 47
reading 47
notice 47
ios 47
month 47
script 47
alexander 47
interface 47
ago 47
/div 47
republicans 46
several 46
microtargeting 46
https 46
mar 46
distinct 46
cookie 46
reach 46
sex 46
sold 46
became 46
whole 46
addresses 46
kim 46
image 46
attack 46
russians 46
stuff 46
carrie 46
top 45
civil 45
devorah 45
fbi 45
sunday 45
blog 45
button 45
targeted 45
summit 45
international 45
race 45
wanted 44
specific 44
anonymous 44
form 44
known 44
systems 44
simple 44
martinez 44
makes 44
ethical 44
'll 44
vpn 43
air 43
candidate 43
prediction 43
track 43
prism 43
taxpayer 43
sterling 43
readers 43
block 43
centers 43
getting 43
zuck 43
education 43
canada 43
started 42
defence 42
main 42
january 42
city 42
among 42
tap 42
add 42
strategy 42
supporters 41
cooper 41
appear 41
canadian 41
investors 41
potential 41
senator 41
speech 41
section 41
added 41
higher 41
young 41
false 41
thank 41
sources 41
five 41
errors 40
mean 40
ice 40
super 40
methods 40
allowed 40
senior 40
lite 40
valid 40
schema 40
store 40
pictures 40
prince 40
february 40
payment 40
agencies 40
employee 40
received 40
buy 40
turn 39
description 39
aiq 39
old 39
anderson 39
following 39
economy 39
gates 39
alp 39
manafort 39
mps 39
paper 39
weve 39
australia 39
providers 39
books 39
available 38
containers 38
palestinian 38
brown 38
gizmodo 38
maybe 38
default 38
taken 38
developed 38
sec 38
execution 38
allow 38
wagner 38
worth 37
leaders 37
hide 37
went 37
hacking 37
secretary 37
looking 37
lawyer 37
knows 37
definition 37
entry 37
davidsen 37
ico 37
politicians 37
illegal 37
interview 37
documents 37
korean 37
romney 37
represent 36
client 36
patients 36
renaissance 36
california 36
needs 36
div 36
involved 36
map 36
built 36
perhaps 36
zealand 35
medical 35
zuckerbergs 35
academic 35
picture 35
revenue 35
argument 35
allegations 35
communication 35
bolton 35
scalar 35
november 35
published 35
onavo 35
hard 35
higbie 35
startup 35
line 35
conservatives 35
nonnull 35
logs 34
passwords 34
techniques 34
check 34
persona 34
spiritual 34
cash 34
barria 34
cbs 34
reason 34
emails 34
course 34
record 34
steve 34
indian 34
recently 34
journalists 34
purposes 34
instead 34
tweets 34
wrong 33
john 33
organization 33
saying 33
testing 33
climate 33
pro 33
claims 33
creative 33
brain 33
topics 33
knew 33
poll 33
death 33
developer 33
pretty 33
opt-out 33
acxiom 33
npr 33
archive 33
payments 33
tell 32
side 32
gladio 32
expected 32
corbyn 32
cyber 32
goes 32
wi-fi 32
turned 32
jong 32
richard 32
options 32
build 32
smart 32
development 32
tillis 32
exchange 32
sort 32
measure 32
florida 32
lists 32
july 32
centre 32
ability 32
directives 32
protect 32
press 32
direct 31
chen 31
reporter 31
indictment 31
clintons 31
reality 31
manager 31
word 31
cost 31
dollars 31
entitlements 31
ideas 31
lnp 31
details 31
paying 31
listening 31
snapchat 31
past 31
mainstream 31
organisations 31
described 31
try 31
journal 31
products 31
powerful 31
agenda 31
job 31
etc 31
psychographics 31
illinois 31
star 31
music 30
matter 30
yes 30
class 30
item 30
shown 30
interference 30
ruby 30
chinese 30
eunoia 30
rather 30
lobby 30
relationship 30
jared 30
quizzes 30
common 30
connection 30
analysis 30
love 30
results 30
announced 30
robot 30
view 30
taking 30
nato 30
lives 30
talks 29
yahoo 29
install 29
writers 29
mind 29
level 29
leave.eu 29
care 29
crime 29
wednesday 29
polls 29
pac 29
fell 29
terry 29
king 29
ireland 29
filed 29
land 29
seemed 29
2011 29
shapiro 29
100 28
donors 28
menu 28
release 28
county 28
securities 28
selection 28
sessions 28
clicking 28
organisation 28
decades 28
lobbyists 28
television 28
jobs 28
violence 28
justice 28
feel 28
authors 28
patterson 28
stigmergic 28
nice 28
evan 28
abuse 28
manipulation 28
otherwise 28
administration 28
chrome 28
else 28
currency 27
autonomy 27
dst 27
amount 27
board 27
unique 27
everything 27
power.com 27
subscription 27
messina 27
interesting 27
tories 27
actions 27
tower 27
provides 27
mass 27
icac 27
creating 27
canadians 27
aggregate 27
posted 27
malware 27
choose 27
connected 27
debate 27
2018. 27
brands 27
sorry 26
updates 26
items 26
advisors 26
games 26
electorate 26
melania 26
water 26
price 26
screenshot 26
running 26
epperlys 26
card 26
engine 26
storage 26
original 26
experience 26
stated 26
huge 26
starbucks 26
kriegel 26
selling 26
traditional 26
giant 26
peoples 26
privateness 26
jonathan 26
gender 26
culture 26
partners 26
rebekah 26
present 26
lost 26
safe 25
saturday 25
seem 25
recover 25
sponsors 25
palantirs 25
crisis 25
lukoil 25
arguments 25
blackberry 25
certain 25
ramsay 25
apply 25
publisher 25
particular 25
kogans 25
energy 25
various 25
files 25
similar 25
northern 25
final 25
atlanta 25
novel 25
effect 25
chancellor 25
phones 24
schools 24
series 24
turnbull 24
metadata 24
behaviors 24
hand 24
efforts 24
computing 24
variable 24
guy 24
live 24
adverts 24
attorneys 24
rene 24
contain 24
events 24
minimized 24
groundwork 24
version 24
governance 24
isps 24
internet.org 24
d.c. 24
processing 24
age 24
oracle 24
moon 24
jourova 24
proof 24
tab 24
collaboration 24
talk 24
placebo 24
cbc 24
finra 24
warned 24
enum 24
bike 23
specification 23
caddell 23
difference 23
fragment 23
second 23
bridge 23
points 23
rich 23
shadow 23
huvelle 23
downloaded 23
december 23
criminal 23
square 23
morning 23
wing 23
admins 23
trades 23
contract 23
guardians 23
stake 23
deceivers 23
leaked 23
follow 23
nsw 23
.more 23
short 23
documentary 23
sector 23
context 23
hackers 23
style=3d 23
snap 23
bit 23
ukip 23
tag 23
2013 23
ban 23
whistleblower 23
a.i 23
proposal 23
antonio 23
command 23
taxpayers 23
bell 23
flynn 23
dup 23
sourcelink 22
monkeys 22
undercover 22
net 22
secure 22
advisor 22
kriegels 22
addictive 22
travel 22
tokens 22
talking 22
epa 22
meps 22
protocol 22
officer 22
inside 22
reuters/jonathan 22
venue 22
laughs 22
cases 22
making 22
tagged 22
district 22
title 22
videourl 22
behavioural 22
tea 22
viewers 22
positions 22
mms 22
arrives 22
deletefacebook 22
wasnt 22
videoid 22
art 22
simply 22
lawyers 22
victims 22
rally 22
denham 22
www.centerforcopyrightintegrity.com 22
watch 22
commonwealth 22
chaos 22
interactions 22
elite 22
2010 22
atlantic 22
drug 22
diversity 22
netanyahu 22
steemit 22
sourcename 22
reporting 22
authority 22
angeles 22
videoimage 22
special 22
validation 22
groups.io 22
dr. 21
analysts 21
godwin 21
character 21
ownership 21
mother 21
experian 21
lies 21
daily 21
sovereignty 21
adds 21
downing 21
directly 21
rentec 21
tyagi 21
exploit 21
cluster 21
libs 21
lady 21
agreement 21
xiaomi 21
smartphones 21
behaviour 21
responsibility 21
token 21
club 21
goldman 21
translation 21
profiling 21
fire 21
prices 21
consensus 21
jewish 21
sent 21
outside 21
entire 21
figure 21
beijing 21
standard 21
ohio 21
battery 21
nuclear 21
agents 21
hardware 21
doesnt 21
additional 21
virtual 21
votes 20
coffers 20
spend 20
axios 20
folks 20
corrupt 20
independent 20
dark 20
cool 20
stream 20
robinson 20
write 20
machine 20
jackson 20
profit 20
learning 20
technical 20
descriptiontext 20
together 20
contains 20
,videocmsurl 20
goal 20
followers 20
expect 20
officers 20
internal 20
clear 20
deactivate 20
bjp 20
limit 20
moment 20
workers 20
advertisements 20
broadband 20
zip 20
index 20
buyer 20
almost 20
laundering 20
transaction 20
although 20
puts 20
freedom 20
networking 20
evangelical 19
basics 19
solution 19
real-time 19
japan 19
tool 19
christopher 19
conference 19
mclean 19
spread 19
gave 19
whats 19
head 19
positive 19
insider 19
cap 19
food 19
jeremy 19
/span 19
sdk 19
kenya 19
problems 19
central 19
cnbc 19
wagners 19
allows 19
upload 19
coming 19
banks 19
late 19
feet 19
impact 19
merger 19
powers 19
mitchell 19
ready 19
recent 19
signal 19
fragments 19
extensions 19
paypal 19
entitlement 19
suit 19
cia 19
sandberg 19
embodiment 19
move 19
republish 19
microphone 19
festival 19
steem 19
candidates 19
killed 19
class=3d 19
stores 19
paul 19
micro-targeting 19
peter 19
todays 18
voted 18
hate 18
widget 18
hundreds 18
adult 18
papadopoulos 18
sans-serif 18
font-size:11.0pt 18
iowa 18
