Retrieving list of stopwords...
Reading Input JSON...
Done loading json!
Merging Results...
Done merging results...
Final Results: 
zichermann 8
obtained 8
award 8
aware 8
join 8
uae 8
kabul 8
mastodon 8
anita 8
welcomes 8
production 8
combining 8
abbott 8
kakissis 8
fred 8
muqbil 8
featured 8
similarly 8
rates 8
begins 8
solely 8
davidson 8
wells 8
morality 8
dow 8
syntax 8
colleague 8
ipad 8
loved 8
coast 8
criticized 8
illegitimate 8
mandatory 8
sturgeon 8
quincy 8
friendfeed 8
score 8
topology 8
chandeliers 8
initiative 8
aim 8
wp29 8
fusion 8
birth 8
jazeera 8
lockdown 8
subscriptions 8
float 8
offering 8
myopia 8
duggal 8
gould 8
dues 8
affidavit 8
humanrank 8
epistemic 8
technique 8
entries 8
buhari 8
die 8
manchester 8
scan 8
printing 8
futures 8
wigmore 8
blocked 8
stockholm 8
manifesto 8
sponsor 8
hacked 8
assurance 8
brooks 8
moscovici 8
packet 8
analyze 8
monopolies 8
apples 8
'we 8
fifth 8
merkel 8
yield 8
stupid 8
inbloom 8
bekah 8
filters 8
elected 8
circulating 8
cities 8
tech-skewing 8
nokogiri 8
classic 8
consultancy 8
mary 8
fig 8
cambanal 8
movements 8
verified 8
singapore 8
wired 8
identifiers 8
components 8
adsense 8
secrecy 8
millennials 8
nicola 8
rlsas 8
recalled 8
antidote 8
duarte 8
totalitarian 8
gibb 8
spamming 8
syrian 8
hey 8
symbol 8
studio 8
wife 8
fairness 8
counter-extremism 8
sitting 8
liars 8
learned 8
constituency 8
e.c 8
vladimir 8
franson 8
awkward 8
coal 8
it\ 8
soccer 8
motley 8
terrorism 8
raytheon 8
print 8
bihar 8
belief 8
base 8
ask 8
e.g 8
volatility 8
guest 8
boots 8
lie 8
speaking 8
lib 8
coercing 8
gain 8
chequers 8
institutions 8
philanthropic 8
defended 8
express 8
querying 8
garcia 8
enveloped 8
acquisition 8
mission 8
empty 8
mycroft 8
ruth 8
yesterday 8
zdziarski 8
emarketer 8
kelly 8
situation 8
success 8
stillwell 8
experiments 8
n.d. 8
relating 8
russias 8
amounts 8
ellen 8
income 8
walked 8
illustrates 8
chan 8
barnier 8
slaby 8
objects 8
clare 8
crazy 8
affected 8
predicted 8
crap 8
esomar 8
efcc 8
executor 8
oczkowski 8
traders 8
taj 8
winning 8
mention 8
covering 8
involvement 8
telecompaper 8
sexual 8
co-founder 8
wrapped 8
tory 8
jacobson 8
seidman 8
accuracy 8
nsas 8
hierarchical 8
eyes 8
directive 8
dishing 8
teams 8
acquired 8
st. 8
disable 8
exploited 8
gru 8
attributes 8
politico 8
discrimination 8
tell-all 8
scalars 8
columbia 8
al-jazeera 8
fighting 8
lauren 8
match 8
softbank 8
emma 8
works 8
shed 8
demonstrates 8
schedule 8
monetary 8
aiqs 8
gas 8
telescreen 8
biggest 8
construction 8
zelendel 8
mcm 8
cpm 8
corporation 8
outdoors 8
truckers 8
brichter 8
inning 7
chmieliauskas 7
integrity 7
tweet 7
pro-privacy 7
dragged 7
affect 7
tagging 7
vector 7
enjoy 7
wrapping 7
mep 7
total 7
philip 7
omolola 7
robertson 7
garca 7
thefacebook 7
amazing 7
charging 7
purchase 7
attempt 7
headquarters 7
fin 7
coffee 7
effects 7
singularity 7
jesus 7
victory 7
entitled 7
jillian 7
councils 7
parasites 7
yokota 7
restricted 7
reader 7
starts 7
isp 7
rank 7
feeding 7
percentage 7
drance 7
sees 7
personalisation 7
chatwatch 7
derek 7
nuez 7
nobody 7
cummings 7
entertaining 7
implementation 7
exports 7
kanton 7
societies 7
greens 7
programmatic 7
olympics 7
in-q-tel 7
tables 7
literally 7
suggested 7
players 7
strong 7
aheds 7
dave 7
complex 7
incorrectly 7
hipaa 7
blamed 7
charity 7
fisa 7
thi 7
quotes 7
breaks 7
href= 7
hunt 7
alamo 7
amos 7
sends 7
crown 7
dead 7
fiduciary 7
harassment 7
confusing 7
asking 7
localhost 7
peer 7
eye 7
obi 7
dean 7
constantly 7
resulted 7
hear 7
isis 7
abstract 7
newsletter 7
alerts 7
jones 7
fears 7
lineup 7
concept 7
skip 7
llc 7
chair 7
suicide 7
charge 7
permanently 7
terror 7
55-inch 7
advantage 7
emphasized 7
tear 7
remain 7
appeal 7
celebrates 7
monies 7
estate 7
predictions 7
films 7
thompson 7
insights 7
organizations 7
modified 7
dedicated 7
dennis 7
clair 7
discussion 7
lehan 7
nyt 7
till 7
entity 7
usa 7
greatnewapp 7
discuss 7
servant 7
quarter 7
domain 7
fixes 7
yeah 7
unlock 7
juul 7
girl 7
album 7
oklahoma 7
theory 7
incentives 7
plea 7
carb 7
russakoff 7
ministry 7
hopes 7
caught 7
cops 7
outcome 7
addressing 7
e-commerce 7
najib 7
sankar 7
equipment 7
personalized 7
icon 7
drive 7
german 7
hack 7
pollsters 7
sierra 7
assistant 7
portions 7
subtype 7
audited 7
representatives 7
staffer 7
6.8 7
parent 7
legitimacy 7
huvelles 7
allowance 7
ants 7
pod 7
bespacific 7
informed 7
andrew 7
parse 7
property 7
streams 7
wimbledon 7
pradesh 7
charged 7
execute 7
confirmed 7
treatment 7
nielsen 7
virginia 7
macos 7
output 7
gmail 7
modiface 7
haryana 7
provider 7
feeds 7
intent 7
processor 7
gathers 7
longer 7
rometty 7
cyberbullying 7
poor 7
separate 7
gifts 7
dual-class 7
religious 7
improperly 7
end-users 7
lawmakers 7
premium 7
austerity 7
i-pace 7
healey 7
silverstein 7
edited 7
prosecutors 7
add-on 7
moments 7
diana 7
town 7
none 7
4:03 7
indicating 7
beleave 7
exclude 7
centimeters 7
tyee 7
monetisation 7
scott 7
nigel 7
caesars 7
penn 7
protesting 7
odie 7
muresan 7
sailor 7
harm 7
hill 7
pun 7
guess 7
misogyny 7
accumulation 7
schweickert 7
e.u 7
fallen 7
linking 7
collapse 7
aired 7
southampton 7
charitable 7
gabe 7
miller 7
copyright 7
clicks 7
orcl 7
underlying 7
anti-muslim 7
sep 7
probable 7
pictured 7
respondents 7
labelle 7
four-metre-tall 7
witch 7
finds 7
geolocation 7
church 7
grewel 7
decline 7
acceptance 7
generating 7
fun 7
larger 7
technologists 7
jpg 7
skype 7
rid 7
emphasize 7
shah 7
lower 7
binance 7
leaking 7
removed 7
startups 7
stengel 7
aloha 7
greybags 7
ballots 7
harvesting 7
discriminatory 7
madigan 7
moods 7
aerospace 7
popular 7
1st 7
decision 7
pew 7
benefit 7
sputnik 7
anna 7
wouldnt 7
computational 7
decisions 7
apparently 7
boys 7
360. 7
verification 7
racial 7
matching 7
definitely 7
allowing 7
2014. 7
mailing 7
contexts 7
helps 7
whitelist 7
continued 7
rack 7
internship 7
lee 7
atiku 7
manipulate 7
belgian 7
trait 7
zimmer 7
simons 7
institute 7
lock 7
rutledge 7
light 7
watson 7
houston 7
interpreted 7
produced 7
whilst 7
distraction 7
broadsheet 7
yeon-je/afp/getty 7
develop 7
navigating 7
barley 7
cause 7
regulatory 7
mai 7
facebook-contact-info-summary.rb:88 7
contribute 7
megan 7
environmental 7
distinction 7
steel 7
2.2 7
alexa 7
brad 7
wish 7
uri 7
face 7
mi6 7
affair 7
kite 7
anyway 7
employed 7
scanmyphotos 7
queries 7
fixed 7
36.4 7
responses 7
bias 7
tend 7
deleters 7
routing 7
a.b 7
approval 7
social-media 7
deflected 7
8.1 7
fintech 7
indicators 7
examine 7
podcasts 7
cox 7
thus 7
watched 7
tumbled 7
scams 7
seth 7
drone 7
soviet 7
increasingly 7
obtain 7
pruitt 7
heritage 7
warrant 7
longbottom 7
aclu 7
deployment 7
loss 7
trai 7
recommendation 7
dots 7
mitt 7
rentrak 7
registration 7
count 7
hankook 7
hmrc 7
recognize 7
rightwing 7
quot 7
baker 7
rule 7
klobuchar 6
child 6
four 6
asian 6
relationships 6
=e2=80=94 6
violate 6
charles 6
assets 6
teaching 6
sway 6
supreme 6
penny 6
delegate 6
bicycle 6
estimates 6
preferences 6
increasing 6
mee 6
mws 6
hero 6
calculate 6
aka 6
punjab 6
biometric 6
criticism 6
opportunities 6
monetization 6
marketers 6
hospital 6
mexico 6
dnt 6
paperwork 6
championships 6
eclipse 6
technologist 6
organized 6
goff 6
ceremony 6
turk 6
chase 6
eyeballs 6
lab 6
sets 6
greet 6
cigarettes 6
mayor 6
destroyed 6
vast 6
datasifts 6
combination 6
structural 6
reasonable 6
feinberg 6
principles 6
sears 6
lapowsky 6
driving 6
cameras 6
crucial 6
encourage 6
medicine 6
gop 6
hogan 6
sept. 6
created 6
leila 6
disturbed 6
stewart 6
angelic 6
grade 6
primary 6
channels 6
clarity 6
urban 6
serve 6
abandoning 6
anxiety 6
enabled 6
nations 6
blackwater 6
manned 6
seed 6
tells 6
effectiveness 6
taxation 6
phase 6
released 6
enterprise 6
bomb 6
radio 6
solutions 6
consciousness 6
underpants 6
rico 6
photographers 6
catalin 6
mintz 6
backpage.com 6
mud 6
irb 6
personalize 6
harvard 6
uns 6
ill 6
uncertainty 6
federated 6
planned 6
denuclearization 6
uttar 6
ambassador 6
wheatland 6
1.0 6
liveramp 6
basis 6
khaled 6
quickly 6
mypersonality 6
basic 6
teenager 6
spin 6
applied 6
participatory 6
affirm 6
laplante 6
teachers 6
balance 6
played 6
expenses 6
linkedin 6
cointelegraph 6
containing 6
nike 6
suggest 6
democracies 6
plug-ins 6
contact_info.htm 6
kept 6
paradigm 6
background 6
proposed 6
bandwidth 6
qualtrics 6
vtbs 6
shorthand 6
24/7 6
easy 6
east 6
opt 6
right-wing 6
crowd 6
malaysia 6
frommann 6
bottom 6
ukrainian 6
tocmedia 6
algorithmic 6
bolt 6
chapter 6
attacks 6
steadily 6
printed 6
schwartz 6
malviya 6
legislation 6
differences 6
kingston 6
bern 6
nov. 6
vatican 6
claimants 6
believable 6
tim 6
hoffman 6
node 6
leak 6
invested 6
happening 6
assume 6
vietnam 6
chain 6
focus 6
recode 6
gresford 6
hawaii 6
round 6
amazons 6
sign 6
majors 6
g20 6
extraterrestrial 6
guangzhou 6
baseball 6
bosworth 6
brilliant 6
fbs 6
tasks 6
regardless 6
extra 6
ipo 6
rovio 6
trinidad 6
everybody 6
sports 6
abrams 6
everywhere 6
effort 6
opioids 6
coerce 6
abortion 6
trans 6
awesome 6
bdfs 6
topic 6
reed 6
requirements 6
persuasion 6
designed 6
date 6
palestinians 6
jail 6
michel 6
outfitters 6
seeing 6
displayed 6
primitive 6
stability 6
kellyanne 6
statistical 6
argued 6
aviv 6
ciam 6
zuckerburg 6
taliban 6
half 6
benenson 6
wont 6
neutrality 6
vpns 6
nick 6
ubiquitous 6
minority 6
3rd 6
coby 6
attracted 6
receiving 6
hull 6
yuri 6
training 6
rate 6
swing 6
predictive 6
spanish 6
corporations 6
engineer 6
iam 6
uks 6
allegedly 6
continuous 6
proving 6
copy 6
unfortunately 6
gobo 6
manassas 6
voices 6
rent 6
politicos 6
kevin 6
objective 6
bets 6
icos 6
wire 6
knee 6
lawn 6
considered 6
egg 6
average 6
shot 6
transunion 6
recipe 6
mashable 6
soetoro 6
truly 6
dyi 6
regarding 6
mattis 6
2011. 6
violated 6
bargain 6
collects 6
surgery 6
wonder 6
suspects 6
suffer 6
harvey 6
thura 6
installation 6
clever 6
tour 6
comey 6
labours 6
mccain 6
pog 6
turkey 6
howard 6
workshop 6
sonam 6
billionaires 6
enable 6
f.t.c 6
wake 6
protocols 6
developing 6
consultant 6
admin 6
eic 6
expertise 6
relection 6
region 6
protein 6
alphabet 6
keeping 6
relevant 6
'every 6
pill 6
consumption 6
harmonic 6
warehouse 6
venues 6
fortune 6
wwdc 6
collective 6
pull-to-refresh 6
simulator 6
/blockquote 6
specified 6
recorded 6
us.thanks 6
broker 6
trials 6
ufos 6
manufacturer 6
'the 6
lens 6
floatingpoint 6
hopkins 6
375 6
stand 6
tariffs 6
outlook 6
removing 6
fish 6
goodman 6
sophisticated 6
farage 6
multitasking 6
thill 6
manuel 6
deep 6
fill 6
amendments 6
heather 6
green 6
facebook.com 6
reuters/kevin 6
fraudulent 6
consider 6
lack 6
dollar 6
tours 6
cameron 6
liam 6
schiff 6
auckland 6
tail 6
presentation 6
data-driven 6
worse 6
lazer 6
bubbled 6
worst 6
candida 6
citizenship 6
m-pesa 6
tel 6
fedma 6
grease 6
pass 6
kosinskis 6
abc 6
attitudes 6
guns 6
christian 6
tags 6
i.e 6
arena 6
airport 6
followed 6
micro-propaganda 6
florence 6
investholding 6
adtech 6
jr. 6
portman 6
basically 6
blah 6
paragraph 6
bookface 6
listhaug 6
evangelicals 6
prompt 6
pushed 6
sense 6
waterfox 6
chernyshyov 6
breaking 6
maps 6
grewal 6
documentation 6
bugs 6
inquiry 6
alpo 6
jacoby 6
researcher 6
fines 6
fool 6
demographics 6
framework 6
gartenberg 6
referred 6
weight 6
brother 6
engaging 6
investigated 6
edri 6
drink 6
obeid 6
al-akoum 6
imagine 6
thrown 6
faucet 6
infor 6
computers 6
threat 6
lawsuits 6
utilized 6
dauenhauer 6
automobile 6
interviews 6
jamie 6
trolls 6
nariman 6
charges 6
str 6
interactive 6
oakes 6
fermented 6
method-2 6
eff 6
shareholder 6
dealers 6
bodies 6
clean 6
xinis 6
lying 6
doctors 6
shilling 6
area 6
headlines 6
occupation 6
writes 6
distributed 6
failed 6
giants 6
gains 6
mediashift 6
dose 6
unpublished 6
manning 6
migration 6
threats 6
cos. 6
risks 6
dividends 6
curated 6
lookalike 6
long-term 6
childhood 6
smith 6
monthly 6
post-truth 6
lived 6
hoodoo 6
assange 6
politician 6
pace 6
dominic 6
kingdom 6
guilty 6
anymore 6
shak 6
daughters 6
worry 6
reuters/robert 6
modular 6
add-ons 6
prescan 6
associations 6
howell 6
mine 6
gunpo 6
newark 6
pen 6
prof 6
plots 6
raspberry 6
faith 6
dialog 6
inec 6
racism 6
realist1 6
pentagon 6
rolls 6
file- 6
bankruptcy 6
nyoooz 6
renewal 6
maria 6
hawaiian 6
immigration 6
pwc 6
windows 6
sometimes 6
lulu 6
evening 6
prasad 6
defines 6
codes 6
edwards 6
uranium 6
pesticides 6
reportedly 6
viral 6
re-election 6
robots 6
regulations 6
tsukuba 6
structure 6
farhan 6
chubblo 6
lean 6
godwins 6
concerned 6
queen 6
garden 6
genius 6
manipulated 6
rover 6
categories 6
igbo 6
mirae 6
demonstrations 6
herofriends 6
shackelford 6
showcase 6
meadowbank 6
sexy 6
casino 6
leaving 6
quartz 6
taxman 6
sachs 6
subswitches 6
delany 6
agreeable 6
'judge 6
chip 6
carbon 6
rubbish 6
raab 6
departure 6
harvest 6
sanctions 6
obvious 6
drill 6
meet 6
closing 6
professor 6
polling 6
neurotic 6
ethereum 6
establishment 6
tension 6
ties 6
addiction 6
looks 6
badges 6
hanson 6
puerto 6
wnyc 6
namedentity 6
auto 6
dan 6
front 6
investor 6
transparent 6
articles 6
soltis 6
subcontinent 6
lobbies 6
gary 6
four-star 6
related 6
sandy 6
rex 6
kenneth 6
shit 6
frank 6
delegates 6
regulators 6
allies 6
dubbed 6
membership 6
upguard 6
adrian 6
successor 6
vickery 6
owner 6
reached 6
facebook-contact-info-summary.rb 6
relations 6
galbraith 6
kudlow 6
mukhriz 6
co-op 6
gear 6
exactly 6
photograph 6
ben 6
providing 6
covered 6
ringer 6
beck 6
autostartvideo 6
linked 6
concerns 6
tactic 6
1.33 6
combat 6
anti-semitic 6
awh 6
rollout 6
looked 6
violation 6
bring 6
well-being 6
podcast 6
scammers 6
blocker 6
hope 6
regularly 6
advisory 6
dodgy 6
nearly 6
extract 6
inputs 6
untrue 6
representative 6
module 6
immigrant 6
attempting 6
hyperlinks 6
convince 6
masterful 6
legit 6
commenting 6
plugin 6
bristol 6
muslim 6
journey 6
walk 6
table 6
earning 6
faamng 6
addition 6
amgen 6
womens 6
homes 6
welcoming 6
pottinger 6
weber 6
britains 6
golin 6
manually 6
hicks 6
dems 6
capture 6
difficult 6
automation 6
robotic 6
warming 6
indonesia 6
mccabe 6
================================ 6
advertiser 6
zeenews.india.com 6
satellites 6
jeff 6
hall 6
memorandums 6
cpac 6
regulated 6
+972 6
eweek 6
proper 6
competitor 6
overlay 6
bjrk 6
anti-semitism 6
host 6
stage 6
sister 6
commons 6
rendered 6
libertarians 6
conway 6
pussy 6
dataset 6
assess 6
female 6
owners 6
utility 6
al-qaeda 6
aleksandr 6
insurer 6
goals 6
courts 6
carthage 6
rahul 6
places 6
harvested 6
irish 6
patterns 6
int 6
qcri 6
romance 6
commander-in-chief 6
junk 6
francisco 6
rapidly 6
kapoor 6
jung 6
stay 6
martin 6
augmented 6
